
Image Name                     PID Session Name        Session#    Mem Usage
conhost.exe                  11296 Services                   0        588 K
IDBWM.exe                    11328 Services                   0      4,840 K
svchost.exe                  11908 Services                   0     12,760 K
svchost.exe                  12008 Services                   0      4,604 K
svchost.exe                  12060 Services                   0      5,724 K
DDVRulesProcessor.exe        12208 Services                   0      2,020 K
Dell.D3.WinSvc.exe           11788 Services                   0     43,704 K
DellSupportAssistRemedati     2500 Services                   0     32,860 K
ServiceShell.exe              4220 Services                   0     31,256 K
svchost.exe                  12420 Services                   0     12,244 K
svchost.exe                  12576 Services                   0      9,036 K
svchost.exe                  12668 Services                   0      4,388 K
SupportAssistAgent.exe       12824 Services                   0     23,024 K
DDVDataCollector.exe         13072 Services                   0     14,752 K
DDVCollectorSvcApi.exe       13148 Services                   0      1,412 K
svchost.exe                  10792 Services                   0      1,880 K
svchost.exe                  11668 Services                   0      1,760 K
svchost.exe                   1916 Services                   0      5,544 K
SecurityHealthService.exe     1052 Services                   0     10,228 K
svchost.exe                   8988 Services                   0     13,264 K
ipf_helper.exe               12732 Console                    1      3,824 K
sihost.exe                   12284 Console                    1     19,468 K
svchost.exe                   5328 Console                    1      3,220 K
svchost.exe                   6020 Console                    1     18,136 K
svchost.exe                   6172 Console                    1     10,320 K
svchost.exe                   6384 Console                    1     22,336 K
svchost.exe                   8436 Services                   0     14,504 K
taskhostw.exe                13348 Console                    1     10,252 K
svchost.exe                  14824 Console                    1     16,992 K
Widgets.exe                  15412 Console                    1     20,172 K
RuntimeBroker.exe            15564 Console                    1     44,488 K
svchost.exe                  15732 Console                    1      8,008 K
dllhost.exe                  16112 Console                    1     11,480 K
RtkAudUService64.exe         16980 Console                    1      3,364 K
ctfmon.exe                   17164 Console                    1     15,832 K
svchost.exe                   9056 Services                   0      7,940 K
DellPair.exe                  4640 Console                    1      5,036 K
WidgetService.exe            11804 Console                    1      4,584 K
SecurityHealthSystray.exe    17620 Console                    1      2,576 K
WavesSvc64.exe               17720 Console                    1      9,212 K
unsecapp.exe                 17884 Console                    1      2,252 K
unsecapp.exe                 17816 Console                    1      2,348 K
ms-teams.exe                 16804 Console                    1     38,020 K
RuntimeBroker.exe            12228 Console                    1      1,920 K
msedgewebview2.exe           17308 Console                    1     41,672 K
dllhost.exe                  12540 Console                    1      3,772 K
msedgewebview2.exe           17544 Console                    1      1,228 K
msedgewebview2.exe           13516 Console                    1     18,020 K
msedgewebview2.exe           18436 Console                    1     17,348 K
msedgewebview2.exe           18484 Console                    1      7,468 K
msedgewebview2.exe           18632 Console                    1      8,764 K
msedgewebview2.exe           18780 Console                    1     45,968 K
msedgewebview2.exe           19312 Console                    1      4,068 K
svchost.exe                  18180 Console                    1      8,656 K
ApplicationFrameHost.exe     12188 Console                    1      2,452 K
SystemSettings.exe           20068 Console                    1          4 K
svchost.exe                  13740 Services                   0        708 K
svchost.exe                  18764 Console                    1      1,216 K
UserOOBEBroker.exe           19632 Console                    1      1,272 K
svchost.exe                  17368 Services                   0      1,328 K
svchost.exe                   1904 Services                   0      4,596 K
svchost.exe                  14312 Console                    1      4,772 K
svchost.exe                   9764 Services                   0     11,200 K
svchost.exe                  18168 Services                   0      1,796 K
msedgewebview2.exe           17468 Console                    1      2,984 K
dllhost.exe                   2080 Console                    1      2,560 K
svchost.exe                   5236 Services                   0      1,500 K
svchost.exe                  13384 Services                   0      4,824 K
Microsoft.SharePoint.exe     18640 Console                    1      4,056 K
KeePass.exe                  13540 Console                    1      9,360 K
Skype.exe                    10596 Console                    1     57,344 K
Skype.exe                    13812 Console                    1      2,448 K
Skype.exe                    10168 Console                    1     13,672 K
Skype.exe                    17104 Console                    1    233,108 K
RuntimeBroker.exe            19128 Console                    1      2,052 K
Skype.exe                    12548 Console                    1      3,352 K
Skype.exe                     3648 Console                    1     39,208 K
WUDFHost.exe                 20700 Services                   0      4,792 K
svchost.exe                   8460 Services                   0        648 K
DPMService.exe               11672 Services                   0     11,816 K
DPMCrashHandler.exe           3744 Services                   0        256 K
DPM.exe                      12240 Console                    1     20,424 K
DPMCrashHandler.exe           2604 Console                    1        672 K
svchost.exe                  21740 Services                   0      1,616 K
openvpn-gui.exe              14428 Console                    1      8,620 K
firefox.exe                  22448 Console                    1    131,148 K
firefox.exe                  21268 Console                    1     29,748 K
firefox.exe                   4248 Console                    1      2,500 K
firefox.exe                  17876 Console                    1     17,696 K
RuntimeBroker.exe            12320 Console                    1      2,600 K
firefox.exe                   7860 Console                    1     10,152 K
firefox.exe                  21964 Console                    1      3,884 K
firefox.exe                  20120 Console                    1     33,256 K
explorer.exe                  5288 Console                    1    230,816 K
SearchHost.exe               16376 Console                    1     79,736 K
TextInputHost.exe             3012 Console                    1     27,412 K
chrome.exe                   16128 Console                    1     76,492 K
chrome.exe                   12864 Console                    1      2,520 K
chrome.exe                   16616 Console                    1     49,944 K
chrome.exe                   20244 Console                    1     27,604 K
